x,y,height
1.983,2.018,-0.024
1.983,2.018,-0.024
2.172,2.355,-0.021
2.172,2.355,-0.029
2.172,2.355,-0.029
2.172,2.355,-0.025
2.164,3.330,-0.020
2.164,3.330,-0.020
2.164,3.330,-0.029
2.164,3.330,-0.026
1.449,4.062,-0.020
1.449,4.062,-0.020
1.449,4.062,-0.020
1.449,4.062,-0.026
1.449,4.062,-0.026
0.425,4.073,-0.026
0.425,4.073,-0.020
0.425,4.073,-0.028
0.425,4.073,-0.028
-0.316,3.365,-0.020
-0.316,3.365,-0.025
-0.316,3.365,-0.020
-0.316,3.365,-0.020
-0.866,2.478,-0.028
-0.866,2.478,-0.029
-0.866,2.478,-0.019
-0.866,2.478,-0.019
-1.838,1.366,-0.027
-1.838,1.366,-0.025
-1.838,1.366,-0.020
-1.838,1.366,-0.020
-2.772,0.192,-0.020
-2.772,0.192,-0.029
-2.772,0.192,-0.024
-3.712,-0.977,-0.019
-3.712,-0.977,-0.024
-3.712,-0.977,-0.024
-3.712,-0.977,-0.026
-4.606,-2.086,-0.029
-4.606,-2.086,-0.024
-4.606,-2.086,-0.024
-4.606,-2.086,-0.027
-5.547,-3.255,-0.021
-5.547,-3.255,-0.022
-5.547,-3.255,-0.023
-5.547,-3.255,-0.023
-6.487,-4.423,0.012
-6.487,-4.423,0.092
-6.487,-4.423,0.191
-6.487,-4.423,0.191
-7.428,-5.592,0.352
-7.428,-5.592,0.383
-7.428,-5.592,0.348
-7.428,-5.592,0.348
-8.295,-6.197,0.550
-8.295,-6.197,0.466
-8.295,-6.197,0.377
-8.295,-6.197,0.377
-9.326,-6.159,0.546
-9.326,-6.159,0.577
-9.326,-6.159,0.677
-10.297,-6.090,0.897
-10.297,-6.090,0.897
-10.297,-6.090,0.920
-10.297,-6.090,0.914
-10.297,-6.090,0.914
-10.975,-6.650,1.163
-10.975,-6.650,1.185
-10.975,-6.650,1.205
-11.674,-7.418,1.532
-11.674,-7.418,1.532
-11.674,-7.418,1.527
-11.674,-7.418,1.518
-12.258,-8.780,1.874
-12.258,-8.780,1.804
-12.258,-8.780,1.804
-12.258,-8.780,1.691
-12.841,-10.162,1.869
-12.841,-10.162,1.714
-12.841,-10.162,1.599
-13.461,-11.527,1.586
-13.461,-11.527,1.586
-13.461,-11.527,1.523
-13.461,-11.527,1.478
-14.036,-12.831,1.258
-14.036,-12.831,1.258
-14.036,-12.831,1.227
-14.036,-12.831,1.206
-14.645,-14.202,0.810
-14.645,-14.202,0.874
-14.645,-14.202,0.874
-14.645,-14.202,0.970
-14.645,-14.202,0.970
-14.952,-14.892,0.551
-14.952,-14.892,0.678
-14.952,-14.892,0.678
-14.952,-14.892,0.806
