x,y,height
0.000,-0.000,-0.020
0.000,-0.000,-0.019
0.000,-0.000,-0.034
0.717,0.205,-0.019
0.717,0.205,-0.019
0.717,0.205,-0.050
0.717,0.205,-0.052
1.449,0.947,-0.030
1.449,0.947,-0.030
1.449,0.947,-0.032
1.449,0.947,-0.035
1.449,0.947,-0.035
2.333,2.122,-0.029
2.333,2.122,-0.034
2.333,2.122,-0.034
2.333,2.122,-0.027
3.308,3.108,-0.024
3.308,3.108,-0.026
3.308,3.108,-0.026
3.308,3.108,-0.027
4.209,3.368,-0.020
4.209,3.368,-0.022
4.209,3.368,-0.022
4.736,3.548,-0.019
4.736,3.548,-0.019
5.055,3.852,-0.027
5.055,3.852,-0.022
5.055,3.852,-0.018
5.055,3.852,-0.018
5.192,4.292,-0.019
5.192,4.292,-0.027
5.192,4.292,-0.022
5.463,4.616,-0.027
5.463,4.616,-0.027
5.463,4.616,-0.024
5.463,4.616,-0.024
5.463,4.616,-0.024
5.795,4.641,-0.022
5.795,4.641,-0.030
5.795,4.641,-0.022
6.206,4.399,-0.024
6.206,4.399,-0.028
6.206,4.399,-0.028
6.206,4.399,-0.023
6.924,4.392,-0.024
6.924,4.392,-0.020
6.924,4.392,-0.032
6.924,4.392,-0.032
7.818,4.890,-0.022
