x,y,height
17.114,-20.077,-0.024
17.130,-20.042,-0.033
17.149,-19.991,-0.034
17.187,-19.817,-0.028
17.188,-19.717,-0.029
17.174,-19.619,-0.030
17.103,-19.432,-0.027
16.980,-19.276,-0.028
16.902,-19.212,-0.024
16.728,-19.115,-0.025
16.636,-19.077,-0.029
16.541,-19.044,-0.029
16.375,-19.000,-0.030
16.304,-18.986,-0.026
16.226,-18.975,-0.026
16.030,-18.952,-0.024
15.831,-18.929,-0.024
15.732,-18.918,-0.022
15.560,-18.898,-0.021
15.519,-18.893,-0.021
15.348,-18.873,-0.022
15.257,-18.862,-0.022
15.078,-18.840,-0.024
14.882,-18.801,-0.022
14.691,-18.742,-0.022
14.506,-18.665,-0.022
14.417,-18.621,-0.022
14.327,-18.577,-0.022
14.148,-18.488,-0.028
13.975,-18.400,-0.023
13.896,-18.354,-0.024
13.743,-18.251,-0.024
13.665,-18.191,-0.027
13.591,-18.134,-0.027
13.452,-18.026,-0.020
13.374,-17.967,-0.020
13.215,-17.844,-0.024
13.087,-17.741,-0.024
12.977,-17.636,-0.021
12.847,-17.496,-0.021
12.711,-17.349,-0.027
12.643,-17.276,-0.027
12.575,-17.202,-0.024
12.439,-17.056,-0.024
12.303,-16.909,-0.019
12.167,-16.762,-0.018
12.099,-16.689,-0.029
12.032,-16.615,-0.030
11.896,-16.468,-0.025
11.828,-16.395,-0.026
11.692,-16.248,-0.026
11.624,-16.175,-0.022
11.488,-16.028,-0.021
11.352,-15.881,-0.022
11.290,-15.814,-0.022
11.233,-15.752,-0.022
11.103,-15.612,-0.020
11.035,-15.539,-0.020
10.916,-15.410,-0.025
10.853,-15.341,-0.025
10.730,-15.205,-0.028
10.599,-15.055,-0.028
10.475,-14.911,-0.026
10.348,-14.765,-0.020
10.217,-14.614,-0.019
10.158,-14.546,-0.022
10.049,-14.406,-0.022
9.934,-14.243,-0.021
9.819,-14.080,-0.020
9.710,-13.926,-0.027
9.598,-13.767,-0.019
9.540,-13.685,-0.019
9.425,-13.522,-0.018
9.367,-13.440,-0.024
9.252,-13.277,-0.024
9.165,-13.154,-0.020
9.107,-13.072,-0.020
9.050,-12.991,-0.020
8.934,-12.827,-0.020
8.877,-12.746,-0.020
8.761,-12.582,-0.022
8.646,-12.419,-0.027
8.531,-12.256,-0.028
8.415,-12.092,-0.027
8.357,-12.011,-0.027
8.300,-11.929,-0.027
8.184,-11.765,-0.029
8.127,-11.684,-0.030
8.011,-11.520,-0.020
7.954,-11.439,-0.019
7.838,-11.275,-0.027
7.781,-11.194,-0.027
7.678,-11.049,-0.021
7.626,-10.974,-0.021
7.511,-10.812,-0.026
7.454,-10.731,-0.026
7.400,-10.655,-0.026
7.351,-10.586,-0.026
7.299,-10.512,-0.028
7.189,-10.356,-0.028
7.088,-10.212,-0.023
6.973,-10.050,-0.022
6.871,-9.905,-0.022
6.823,-9.837,-0.022
6.775,-9.769,-0.031
6.685,-9.628,-0.031
6.597,-9.459,-0.024
6.552,-9.370,-0.024
6.463,-9.191,-0.019
6.418,-9.101,-0.018
6.373,-9.012,-0.018
6.283,-8.833,-0.029
6.238,-8.744,-0.029
6.149,-8.565,-0.021
6.104,-8.476,-0.021
6.059,-8.386,-0.021
5.969,-8.208,-0.023
5.925,-8.118,-0.023
5.835,-7.939,-0.024
5.790,-7.850,-0.024
5.745,-7.761,-0.023
5.700,-7.671,-0.023
5.611,-7.492,-0.023
5.566,-7.403,-0.021
5.476,-7.224,-0.021
5.432,-7.135,-0.039
5.387,-7.046,-0.040
5.342,-6.956,-0.041
5.252,-6.777,-0.029
5.207,-6.688,-0.029
5.163,-6.599,-0.029
5.118,-6.509,-0.027
5.028,-6.330,-0.027
4.983,-6.241,-0.023
4.894,-6.062,-0.022
4.849,-5.973,-0.026
4.804,-5.883,-0.026
4.714,-5.705,-0.026
4.647,-5.571,-0.026
4.557,-5.392,-0.019
4.513,-5.302,-0.019
4.423,-5.124,-0.021
4.378,-5.034,-0.020
4.333,-4.945,-0.020
4.244,-4.766,-0.026
4.199,-4.677,-0.026
4.154,-4.587,-0.026
4.109,-4.498,-0.016
4.064,-4.409,-0.016
3.975,-4.230,-0.032
3.930,-4.140,-0.032
3.885,-4.051,-0.032
3.795,-3.872,-0.031
3.706,-3.693,-0.032
3.661,-3.604,-0.023
3.571,-3.425,-0.023
3.526,-3.336,-0.027
3.437,-3.157,-0.027
3.347,-2.978,-0.015
3.257,-2.800,-0.014
3.213,-2.710,-0.027
3.168,-2.621,-0.027
3.123,-2.531,-0.027
3.033,-2.353,-0.025
2.993,-2.272,-0.025
2.963,-2.212,-0.025
2.944,-2.174,-0.025
2.901,-2.089,-0.025
2.820,-1.928,-0.025
2.776,-1.839,-0.025
2.686,-1.660,-0.020
2.596,-1.481,-0.020
2.507,-1.302,-0.023
2.462,-1.213,-0.023
2.417,-1.123,-0.021
2.327,-0.945,-0.021
2.238,-0.766,-0.028
2.193,-0.677,-0.029
2.103,-0.498,-0.033
2.014,-0.319,-0.035
